"Data source: Fishbase, Froese, R. and D. Pauly. Editors. 2019. FishBase. World Wide Web electronic publication. www.fishbase.org",,
"Data accessed using: Boettiger, C., Lang, D. T., & Wainwright, P. C. (2012). rfishbase: exploring, manipulating and visualizing FishBase data from R. Journal of Fish Biology, 81, 2030Ð2039. Data downloaded on 21.8.2019.",,
,,
Fishbase environment,Species,demersal or pelagic
demersal,Agonus cataphractus,demersal
pelagic-neritic,Alosa alosa,pelagic
pelagic-neritic,Alosa fallax,pelagic
demersal,Amblyraja radiata,demersal
demersal,Ammodytes tobianus,demersal
demersal,Anarhichas lupus,demersal
demersal,Anguilla anguilla,demersal
bathypelagic,Aphanopus carbo,pelagic
bathypelagic,Arctozenus risso,pelagic
bathydemersal,Argentina silus,demersal
bathydemersal,Argentina sphyraena,demersal
bathypelagic,Argyropelecus hemigymnus,pelagic
bathypelagic,Argyropelecus olfersii,pelagic
benthopelagic,Argyrosomus regius,pelagic
demersal,Arnoglossus imperialis,demersal
demersal,Arnoglossus laterna,demersal
demersal,Arnoglossus rueppelii,demersal
demersal,Arnoglossus thori,demersal
pelagic-neritic,Atherina presbyter,pelagic
bathypelagic,Bathysolea profundicola,pelagic
pelagic-oceanic,Belone belone,pelagic
pelagic-oceanic,Benthosema glaciale,pelagic
benthopelagic,Beryx splendens,pelagic
demersal,Blennius ocellaris,demersal
demersal,Boops boops,demersal
pelagic-neritic,Brama brama,pelagic
demersal,Brosme brosme,demersal
demersal,Buglossidium luteum,demersal
demersal,Callionymus lyra,demersal
demersal,Callionymus maculatus,demersal
demersal,Callionymus reticulatus,demersal
demersal,Callionymus risso,demersal
demersal,Capros aper,demersal
benthopelagic,Caranx rhonchus,pelagic
bathypelagic,Centrolophus niger,pelagic
demersal,Cepola macrophthalma,demersal
bathypelagic,Chauliodus sloani,pelagic
demersal,Chelidonichthys cuculus,demersal
demersal,Chelidonichthys lucerna,demersal
demersal,Chelidonichthys obscurus,demersal
bathydemersal,Chimaera monstrosa,demersal
bathydemersal,Chlorophthalmus agassizi,demersal
demersal,Ciliata mustela,demersal
demersal,Ciliata septentrionalis,demersal
demersal,Citharus linguatula,demersal
benthopelagic,Clupea harengus,pelagic
benthopelagic,Coelorinchus caelorhincus,pelagic
demersal,Conger conger,demersal
bathypelagic,Coryphaenoides rupestris,pelagic
benthopelagic,Cyclopterus lumpus,pelagic
bathydemersal,Dalatias licha,demersal
bathydemersal,Deania calcea,demersal
benthopelagic,Dentex gibbosus,pelagic
demersal,Dicentrarchus labrax,demersal
demersal,Dicologlossa cuneata,demersal
benthopelagic,Diplodus annularis,pelagic
benthopelagic,Diplodus bellottii,pelagic
benthopelagic,Diplodus vulgaris,pelagic
demersal,Dipturus batis,demersal
bathydemersal,Dipturus oxyrinchus,demersal
demersal,Echiichthys vipera,demersal
bathydemersal,Echiodon drummondii,demersal
demersal,Enchelyopus cimbrius,demersal
pelagic-neritic,Engraulis encrasicolus,pelagic
demersal,Entelurus aequoreus,demersal
bathydemersal,Epigonus telescopus,demersal
bathydemersal,Etmopterus spinax,demersal
demersal,Eutrigla gurnardus,demersal
pelagic-oceanic,Gadiculus argenteus,pelagic
benthopelagic,Gadus morhua,pelagic
benthopelagic,Gaidropsarus biscayensis,pelagic
demersal,Gaidropsarus macrophthalmus,demersal
demersal,Gaidropsarus vulgaris,demersal
benthopelagic,Galeorhinus galeus,pelagic
bathydemersal,Galeus atlanticus,demersal
demersal,Galeus melastomus,demersal
demersal,Glyptocephalus cynoglossus,demersal
demersal,Gnathophis mystax,demersal
demersal,Gobius niger,demersal
bathydemersal,Helicolenus dactylopterus,demersal
bathydemersal,Hexanchus griseus,demersal
demersal,Hippocampus hippocampus,demersal
demersal,Hippoglossoides platessoides,demersal
demersal,Hippoglossus hippoglossus,demersal
benthopelagic,Hymenocephalus italicus,pelagic
demersal,Hyperoplus lanceolatus,demersal
bathypelagic,Lampanyctus crocodilus,pelagic
benthopelagic,Lepidopus caudatus,pelagic
demersal,Lepidorhombus boscii,demersal
bathydemersal,Lepidorhombus whiffiagonis,demersal
demersal,Lepidotrigla cavillone,demersal
demersal,Lepidotrigla dieuzeidei,demersal
demersal,Leptoclinus maculatus,demersal
demersal,Leucoraja circularis,demersal
bathydemersal,Leucoraja fullonica,demersal
demersal,Leucoraja naevus,demersal
demersal,Limanda limanda,demersal
demersal,Liparis montagui,demersal
bathydemersal,Lophius budegassa,demersal
bathydemersal,Lophius piscatorius,demersal
demersal,Lumpenus lampretaeformis,demersal
bathydemersal,Lycenchelys sarsii,demersal
demersal,Lycodes gracilis,demersal
bathydemersal,Lycodes vahlii,demersal
demersal,Macroramphosus scolopax,demersal
bathydemersal,Malacocephalus laevis,demersal
bathypelagic,Maurolicus muelleri,pelagic
demersal,Melanogrammus aeglefinus,demersal
benthopelagic,Merlangius merlangus,pelagic
demersal,Merluccius merluccius,demersal
demersal,Microchirus azevia,demersal
demersal,Microchirus boscanion,demersal
demersal,Microchirus variegatus,demersal
bathypelagic,Micromesistius poutassou,pelagic
demersal,Microstomus kitt,demersal
demersal,Molva dypterygia,demersal
demersal,Molva macrophthalma,demersal
demersal,Molva molva,demersal
bathypelagic,Mora moro,pelagic
demersal,Mullus surmuletus,demersal
demersal,Mustelus asterias,demersal
demersal,Mustelus mustelus,demersal
bathypelagic,Myctophum punctatum,pelagic
demersal,Myoxocephalus scorpioides,demersal
demersal,Myoxocephalus scorpius,demersal
benthopelagic,Myxine glutinosa,pelagic
benthopelagic,Nezumia aequalis,pelagic
bathypelagic,Notacanthus bonaparte,pelagic
pelagic-oceanic,Notoscopelus kroyeri,pelagic
pelagic-neritic,Osmerus eperlanus,pelagic
benthopelagic,Pagellus acarne,pelagic
demersal,Pagellus bellottii,demersal
benthopelagic,Pagellus bogaraveo,pelagic
benthopelagic,Pagellus erythrinus,pelagic
demersal,Pegusa lascaris,demersal
demersal,Pholis gunnellus,demersal
benthopelagic,Phrynorhombus norvegicus,pelagic
benthopelagic,Phycis blennoides,pelagic
demersal,Platichthys flesus,demersal
demersal,Pleuronectes platessa,demersal
benthopelagic,Pollachius pollachius,pelagic
demersal,Pollachius virens,demersal
benthopelagic,Polymetme corythaeola,pelagic
demersal,Pomadasys incisus,demersal
demersal,Raja brachyura,demersal
demersal,Raja clavata,demersal
demersal,Raja microocellata,demersal
demersal,Raja montagui,demersal
demersal,Raja undulata,demersal
bathydemersal,Rajella fyllae,demersal
pelagic-neritic,Sardina pilchardus,pelagic
pelagic-neritic,Scomber colias,pelagic
pelagic-neritic,Scomber scombrus,pelagic
demersal,Scophthalmus maximus,demersal
demersal,Scophthalmus rhombus,demersal
demersal,Scorpaena loppei,demersal
demersal,Scorpaena notata,demersal
demersal,Scorpaena scrofa,demersal
demersal,Scyliorhinus canicula,demersal
bathypelagic,Scymnodon ringens,pelagic
pelagic-oceanic,Sebastes norvegicus,pelagic
demersal,Sebastes viviparus,demersal
demersal,Serranus cabrilla,demersal
demersal,Serranus hepatus,demersal
demersal,Solea solea,demersal
demersal,Sparus aurata,demersal
pelagic-neritic,Spicara maena,pelagic
benthopelagic,Spinachia spinachia,pelagic
benthopelagic,Spondyliosoma cantharus,pelagic
pelagic-neritic,Sprattus sprattus,pelagic
benthopelagic,Squalus acanthias,pelagic
bathypelagic,Stomias boa boa,pelagic
demersal,Symphurus nigrescens,demersal
bathydemersal,Synaphobranchus kaupii,demersal
demersal,Synchiropus phaeton,demersal
demersal,Syngnathus acus,demersal
demersal,Syngnathus rostellatus,demersal
demersal,Taurulus bubalis,demersal
demersal,Trachinus draco,demersal
pelagic-oceanic,Trachurus mediterraneus,pelagic
benthopelagic,Trachurus picturatus,pelagic
pelagic-neritic,Trachurus trachurus,pelagic
bathydemersal,Trachyrincus scabrus,demersal
bathydemersal,Trigla lyra,demersal
demersal,Triglops murrayi,demersal
benthopelagic,Trisopterus esmarkii,pelagic
benthopelagic,Trisopterus luscus,pelagic
benthopelagic,Trisopterus minutus,pelagic
demersal,Umbrina canariensis,demersal
bathypelagic,Xenodermichthys copei,pelagic
demersal,Zeugopterus punctatus,demersal
demersal,Zeugopterus regius,demersal
benthopelagic,Zeus faber,pelagic
demersal,Zoarces viviparus,demersal